Reading thesis/data/mnist1/binary_codings_1.fccsv
No of Objects: 500
No of attributes: 64
No of concepts: 2081

-----------------------------------------------------------------------------------------------------------------------
  Train/  Object     Extent                                 Probabilities  Predicted     Actual
   Test                Size              [[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]]      Class      Class
   train  o9_409       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [9]
   train  o3_198       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [3] _/
   train  o1_348       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [1]
   train  o1_340       {76} [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [1] _/
   train  o1_343       {85} [[0.03, 0.18, 0.07, 0.03, 0.03, 0.20, 0.14, 0.10, 0.05, 0.12]]      [[5]]        [1]
   train   o3_93       {75} [[0.16, 0.00, 0.09, 0.09, 0.20, 0.09, 0.05, 0.04, 0.18, 0.08]]      [[4]]        [3]
   train  o2_278       {83} [[0.00, 0.10, 0.06, 0.04, 0.15, 0.10, 0.14, 0.15, 0.14, 0.07]]      [[7]]        [2]
   train   o4_60       {70} [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [4] _/
    test  o0_406       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [0]
   train   o5_39       {65} [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[8]]        [5]
   train  o3_180       {77} [[0.03, 0.09, 0.12, 0.16, 0.03, 0.10, 0.15, 0.05, 0.11, 0.10]]      [[3]]        [3] _/
   train  o0_401       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [0]
   train  o1_115       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [1]
   train  o1_116       {76} [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [1] _/
    test  o2_391       {80} [[0.18, 0.17, 0.03, 0.13, 0.05, 0.06, 0.02, 0.18, 0.07, 0.06]]      [[7]]        [2]
   train  o1_474       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [1]
   train  o1_233       {77} [[0.03, 0.09, 0.12, 0.16, 0.03, 0.10, 0.15, 0.05, 0.11, 0.10]]      [[3]]        [1]
   train  o1_112       {85} [[0.03, 0.18, 0.07, 0.03, 0.03, 0.20, 0.14, 0.10, 0.05, 0.12]]      [[5]]        [1]
   train  o1_354       {76} [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [1] _/
   train  o1_113       {76} [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [1] _/
    test  o1_477       {87} [[0.06, 0.17, 0.12, 0.09, 0.10, 0.02, 0.06, 0.06, 0.13, 0.13]]      [[1]]        [1] _/
   train  o2_484       {83} [[0.06, 0.03, 0.10, 0.14, 0.10, 0.08, 0.08, 0.13, 0.13, 0.10]]      [[3]]        [2]
   train  o2_243       {80} [[0.05, 0.12, 0.07, 0.08, 0.18, 0.12, 0.10, 0.08, 0.08, 0.07]]      [[4]]        [2]
   train  o2_364       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [2]
    test  o2_361       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [2]
   train  o2_483       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [2]
    test  o3_290       {65} [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[8]]        [3]
   train   o6_37       {87} [[0.18, 0.08, 0.01, 0.06, 0.03, 0.05, 0.16, 0.17, 0.11, 0.11]]      [[0]]        [6]
   train  o2_127       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [2]
   train  o0_431       {74} [[0.04, 0.02, 0.02, 0.02, 0.17, 0.18, 0.10, 0.10, 0.18, 0.10]]      [[8]]        [0]
   train  o0_310       {78} [[0.23, 0.08, 0.12, 0.10, 0.01, 0.10, 0.10, 0.11, 0.10, 0.01]]      [[0]]        [0] _/
   train  o2_247       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [2]
   train  o1_324       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [1]
   train  o1_204       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [1]
    test  o3_297       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [3]
   train  o1_208       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [1]
   train  o3_294       {72} [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [3]
   train  o2_135       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [2]
   train  o2_253       {91} [[0.16, 0.14, 0.12, 0.17, 0.12, 0.05, 0.05, 0.07, 0.07, 0.01]]      [[3]]        [2]
   train   o4_84       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [4]
   train  o0_304       {70} [[0.11, 0.00, 0.12, 0.18, 0.12, 0.08, 0.17, 0.11, 0.01, 0.05]]      [[3]]        [0]
    test  o0_308       {80} [[0.18, 0.17, 0.03, 0.13, 0.05, 0.06, 0.02, 0.18, 0.07, 0.06]]      [[7]]        [0]
   train  o0_429       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [0] _/
   train   o6_24       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [6]
   train  o2_258       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [2]
   train  o2_379       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [2]
   train  o3_288       {65} [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[8]]        [3]
   train  o1_339       {78} [[0.23, 0.08, 0.12, 0.10, 0.01, 0.10, 0.10, 0.11, 0.10, 0.01]]      [[0]]        [1]
   train  o3_161       {65} [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[8]]        [3]
    test  o3_168       {75} [[0.16, 0.00, 0.09, 0.09, 0.20, 0.09, 0.05, 0.04, 0.18, 0.08]]      [[4]]        [3]
   train  o1_332       {77} [[0.03, 0.09, 0.12, 0.16, 0.03, 0.10, 0.15, 0.05, 0.11, 0.10]]      [[3]]        [1]
    test  o1_455       {76} [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [1] _/
   train  o9_174       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [9]
    test  o0_338       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [0]
   train  o7_201       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [7]
   train  o7_322       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [7] _/
   train   o6_53       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [6]
   train  o0_215       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [0]
   train  o2_187       {93} [[0.08, 0.05, 0.04, 0.16, 0.09, 0.07, 0.01, 0.06, 0.33, 0.07]]      [[8]]        [2]
   train  o0_337       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [0]
   train  o0_219       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [0]
   train  o7_200       {71} [[0.18, 0.00, 0.09, 0.14, 0.04, 0.09, 0.08, 0.19, 0.02, 0.12]]      [[7]]        [7] _/
   train  o0_453       {87} [[0.14, 0.01, 0.04, 0.06, 0.02, 0.12, 0.03, 0.24, 0.17, 0.12]]      [[7]]        [0]
   train  o8_130       {71} [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [8]
   train  o8_251       {65} [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[8]]        [8] _/
   train  o8_255       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [8]
   train  o1_384       {76} [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [1] _/
   train  o1_264       {71} [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [1]
   train  o8_371       {80} [[0.18, 0.17, 0.03, 0.13, 0.05, 0.06, 0.02, 0.18, 0.07, 0.06]]      [[7]]        [8]
   train  o8_370       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [8]
   train  o7_454       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [7]
   train  o0_448       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [0]
   train  o7_213       {71} [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [7]
   train   o7_11       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [7]
   train   o5_75       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [5]
    test  o9_285       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [9]
   train  o7_450       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [7]
   train  o9_169       {71} [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [9]
   train  o9_289       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [9]
    test  o1_392       {76} [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [1] _/
   train  o7_211       {80} [[0.18, 0.17, 0.03, 0.13, 0.05, 0.06, 0.02, 0.18, 0.07, 0.06]]      [[7]]        [7] _/
   train  o9_280       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [9]
   train   o7_14       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [7]
   train  o6_404       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [6]
   train  o0_442       {71} [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [0]
   train   o5_79       {70} [[0.11, 0.00, 0.12, 0.18, 0.12, 0.08, 0.17, 0.11, 0.01, 0.05]]      [[3]]        [5]
   train  o0_321       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [0]
   train  o9_160       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [9]
   train  o8_125       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [8]
    test  o8_123       {65} [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[8]]        [8] _/
   train  o2_192       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [2]
   train  o7_209       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [7]
   train  o1_274       {90} [[0.15, 0.17, 0.10, 0.10, 0.06, 0.15, 0.01, 0.05, 0.11, 0.06]]      [[1]]        [1] _/
   train  o1_157       {76} [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [1] _/
   train  o7_329       {83} [[0.00, 0.10, 0.06, 0.04, 0.15, 0.10, 0.14, 0.15, 0.14, 0.07]]      [[7]]        [7] _/
   train  o9_196       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [9]
   train  o0_118       {72} [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [0]
   train   o7_44       {70} [[0.07, 0.05, 0.12, 0.12, 0.21, 0.02, 0.07, 0.18, 0.07, 0.04]]      [[4]]        [7]
   train  o7_345       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [7]
   train  o0_237       {75} [[0.16, 0.00, 0.09, 0.09, 0.20, 0.09, 0.05, 0.04, 0.18, 0.08]]      [[4]]        [0]
   train  o2_287       {71} [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [2]
   train  o0_238       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [0]
    test  o0_117       {78} [[0.23, 0.08, 0.12, 0.10, 0.01, 0.10, 0.10, 0.11, 0.10, 0.01]]      [[0]]        [0] _/
   train  o2_283       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [2]
   train   o8_19       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [8]
    test  o0_111       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [0] _/
   train  o0_471       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [0]
   train  o8_149       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [8] _/
   train   o8_15       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [8]
   train   o8_13       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [8]
   train  o8_154       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [8]
   train  o1_489       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [1]
    test  o8_276       {74} [[0.04, 0.02, 0.02, 0.02, 0.17, 0.18, 0.10, 0.10, 0.18, 0.10]]      [[8]]        [8] _/
   train  o1_248       {84} [[0.02, 0.16, 0.02, 0.11, 0.11, 0.04, 0.13, 0.10, 0.09, 0.16]]      [[9]]        [1]
   train  o6_301       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [6] _/
   train  o6_423       {76} [[0.06, 0.03, 0.03, 0.17, 0.06, 0.17, 0.02, 0.05, 0.22, 0.14]]      [[8]]        [6]
   train  o8_398       {71} [[0.18, 0.00, 0.09, 0.14, 0.04, 0.09, 0.08, 0.19, 0.02, 0.12]]      [[7]]        [8]
   train  o1_360       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [1]
    test  o1_241       {80} [[0.18, 0.17, 0.03, 0.13, 0.05, 0.06, 0.02, 0.18, 0.07, 0.06]]      [[7]]        [1]
    test  o1_362       {85} [[0.03, 0.18, 0.07, 0.03, 0.03, 0.20, 0.14, 0.10, 0.05, 0.12]]      [[5]]        [1]
   train  o1_365       {71} [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [1]
   train   o5_95       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [5]
   train   o6_64       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [6] _/
   train  o7_355       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [7] _/
   train  o0_228       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [0]
    test   o6_65       {71} [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [6]
    test   o5_94       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [5]
   train   o5_97       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [5]
   train   o7_31       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [7] _/
   train  o7_231       {83} [[0.00, 0.10, 0.06, 0.04, 0.15, 0.10, 0.14, 0.15, 0.14, 0.07]]      [[7]]        [7] _/
   train   o5_92       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [5]
   train  o6_309       {80} [[0.05, 0.12, 0.07, 0.08, 0.18, 0.12, 0.10, 0.08, 0.08, 0.07]]      [[4]]        [6]
   train  o0_103       {75} [[0.16, 0.00, 0.09, 0.09, 0.20, 0.09, 0.05, 0.04, 0.18, 0.08]]      [[4]]        [0]
   train  o0_464       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [0] _/
   train  o1_259       {76} [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [1] _/
    test  o8_385       {72} [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [8] _/
   train  o8_142       {86} [[0.04, 0.10, 0.11, 0.12, 0.02, 0.11, 0.09, 0.23, 0.12, 0.01]]      [[7]]        [8]
   train  o6_434       {65} [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[8]]        [6]
   train  o8_383       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [8]
   train  o8_147       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [8]
   train  o6_311       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [6]
   train  o6_432       {70} [[0.04, 0.02, 0.14, 0.05, 0.17, 0.15, 0.10, 0.10, 0.11, 0.08]]      [[4]]        [6]
    test  o7_227       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [7]
   train  o1_257       {78} [[0.23, 0.08, 0.12, 0.10, 0.01, 0.10, 0.10, 0.11, 0.10, 0.01]]      [[0]]        [1]
   train   o8_33       {75} [[0.16, 0.00, 0.09, 0.09, 0.20, 0.09, 0.05, 0.04, 0.18, 0.08]]      [[4]]        [8]
   train  o7_400       {70} [[0.11, 0.00, 0.12, 0.18, 0.12, 0.08, 0.17, 0.11, 0.01, 0.05]]      [[3]]        [7]
   train  o0_138       {87} [[0.09, 0.01, 0.06, 0.16, 0.11, 0.03, 0.13, 0.09, 0.16, 0.12]]      [[8]]        [0]
    test  o9_374       {65} [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[8]]        [9]
   train   o8_32       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [8]
    test  o0_139       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [0]
    test  o9_254       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [9]
   train   o7_62       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [7]
   train  o9_377       {71} [[0.14, 0.07, 0.04, 0.16, 0.11, 0.14, 0.07, 0.05, 0.05, 0.14]]      [[3]]        [9]
   train  o0_375       {80} [[0.05, 0.12, 0.07, 0.08, 0.18, 0.12, 0.10, 0.08, 0.08, 0.07]]      [[4]]        [0]
   train  o8_327       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [8]
    test  o8_205       {65} [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[8]]        [8] _/
   train  o0_373       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [0]
   train   o7_69       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [7] _/
    test   o8_38       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [8] _/
   train   o6_99       {65} [[0.07, 0.06, 0.07, 0.13, 0.16, 0.09, 0.13, 0.04, 0.16, 0.03]]      [[8]]        [6]
   train  o0_376       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [0] _/
    test  o8_330       {72} [[0.04, 0.02, 0.06, 0.02, 0.15, 0.11, 0.08, 0.13, 0.23, 0.11]]      [[8]]        [8] _/
   train  o8_334       {66} [[0.00, 0.01, 0.07, 0.12, 0.04, 0.15, 0.07, 0.24, 0.15, 0.12]]      [[7]]        [8]
   train  o8_212       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [8]
   train  o0_490       {66} [[0.10, 0.09, 0.12, 0.06, 0.16, 0.09, 0.21, 0.12, 0.00, 0.03]]      [[6]]        [0]
   train  o1_186       {76} [[0.03, 0.21, 0.05, 0.18, 0.19, 0.09, 0.00, 0.03, 0.11, 0.06]]      [[1]]        [1] _/
   train   o7_54       {70} [[0.11, 0.00, 0.12, 0.18, 0.12, 0.08, 0.17, 0.11, 0.01, 0.05]]      [[3]]        [7]
   train   o8_21       {76} [[0.06, 0.03, 0.03, 0.17, 0.06, 0.17, 0.02, 0.05, 0.22, 0.14]]      [[8]]        [8] _/
   train   o8_20       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [8] _/
   train  o0_488       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [0] _/
   train  o0_367       {63} [[0.15, 0.07, 0.09, 0.19, 0.14, 0.11, 0.04, 0.09, 0.03, 0.04]]      [[3]]        [0]
    test   o6_88       {78} [[0.23, 0.08, 0.12, 0.10, 0.01, 0.10, 0.10, 0.11, 0.10, 0.01]]      [[0]]        [6]
   train  o0_487       {80} [[0.18, 0.17, 0.03, 0.13, 0.05, 0.06, 0.02, 0.18, 0.07, 0.06]]      [[7]]        [0]
   train  o0_480       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [0]
    test  o8_445       {75} [[0.16, 0.00, 0.09, 0.09, 0.20, 0.09, 0.05, 0.04, 0.18, 0.08]]      [[4]]        [8]
    test  o1_199       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [1]
   train   o7_87       {60} [[0.10, 0.03, 0.06, 0.08, 0.20, 0.08, 0.08, 0.10, 0.15, 0.10]]      [[4]]        [7]
   train  o9_273       {84} [[0.02, 0.16, 0.02, 0.11, 0.11, 0.04, 0.13, 0.10, 0.09, 0.16]]      [[9]]        [9] _/
    test   o9_23       {69} [[0.23, 0.01, 0.14, 0.13, 0.04, 0.08, 0.11, 0.01, 0.07, 0.14]]      [[0]]        [9]
   train  o9_396       {83} [[0.00, 0.10, 0.06, 0.04, 0.15, 0.10, 0.14, 0.15, 0.14, 0.07]]      [[7]]        [9]
    test   o7_86       {70} [[0.07, 0.05, 0.12, 0.12, 0.21, 0.02, 0.07, 0.18, 0.07, 0.04]]      [[4]]        [7]
   train  o9_155       {63} [[0.14, 0.00, 0.14, 0.03, 0.07, 0.11, 0.09, 0.12, 0.15, 0.11]]      [[8]]        [9]
   train   o8_50       {75} [[0.16, 0.00, 0.09, 0.09, 0.20, 0.09, 0.05, 0.04, 0.18, 0.08]]      [[4]]        [8]
   train  o1_282       {78} [[0.23, 0.08, 0.12, 0.10, 0.01, 0.10, 0.10, 0.11, 0.10, 0.01]]      [[0]]        [1]
    test  o7_420       {60} [[0.13, 0.11, 0.05, 0.18, 0.16, 0.05, 0.10, 0.11, 0.05, 0.03]]      [[3]]        [7]
